radio,mcc,lon,lat,range,averageSignal,radius
GSM,216,18.9806,47.5271,832,0,832.0
GSM,216,18.9928,47.5196,1246,0,1000.0
GSM,216,19.0229,47.5036,1696,0,1000.0
GSM,216,18.9625,47.549,3784,0,1000.0
GSM,216,19.0268,47.4871,725,0,725.0
GSM,216,19.0007,47.5151,1000,0,1000.0
GSM,216,19.1127,47.6032,1145,0,1000.0
GSM,216,19.0672,47.6061,2408,0,1000.0
GSM,216,19.0458,47.5335,1434,0,1000.0
GSM,216,19.1685,47.6305,1441,0,1000.0
GSM,216,19.1679,47.6345,2998,0,1000.0
GSM,216,19.0478,47.5348,703,0,703.0
GSM,216,19.0464,47.5423,706,0,706.0
GSM,216,18.8967,47.423,1451,0,1000.0
GSM,216,18.915,47.4478,1481,0,1000.0
GSM,216,19.2332,47.4342,3011,0,1000.0
GSM,216,19.1166,47.4631,1204,0,1000.0
GSM,216,19.1493,47.4632,1759,0,1000.0
GSM,216,19.0303,47.5087,776,0,776.0
GSM,216,19.0301,47.509,1000,0,1000.0
GSM,216,19.0372,47.5068,805,0,805.0
GSM,216,19.0381,47.5092,1798,0,1000.0
GSM,216,19.0358,47.5074,2955,0,1000.0
GSM,216,19.0383,47.5103,1268,0,1000.0
GSM,216,19.0725,47.6113,1230,0,1000.0
GSM,216,19.0494,47.4905,759,0,759.0
GSM,216,19.0833,47.4602,1707,0,1000.0
GSM,216,19.1642,47.6456,2052,0,1000.0
GSM,216,19.1692,47.6294,2199,0,1000.0
GSM,216,19.0531,47.5796,1191,0,1000.0
GSM,216,18.9184,47.4485,2274,0,1000.0
GSM,216,19.0396,47.5583,1944,0,1000.0
GSM,216,19.0308,47.411,3005,0,1000.0
GSM,216,19.0924,47.4493,940,0,940.0
GSM,216,19.0642,47.6061,1946,0,1000.0
GSM,216,18.8761,47.458,3876,0,1000.0
GSM,216,19.2878,47.4916,7205,0,1000.0
GSM,216,19.3164,47.4643,1000,0,1000.0
GSM,216,19.0313,47.4915,663,0,663.0
GSM,216,19.0303,47.4886,796,0,796.0
GSM,216,19.0466,47.4912,674,0,674.0
GSM,216,19.0677,47.4969,1237,0,1000.0
GSM,216,19.061,47.4916,540,0,540.0
GSM,216,19.0684,47.4966,828,0,828.0
GSM,216,19.0791,47.4992,969,0,969.0
GSM,216,19.0831,47.5008,1216,0,1000.0
GSM,216,19.0837,47.5014,1299,0,1000.0
GSM,216,19.17,47.6211,3862,0,1000.0
GSM,216,19.0827,47.501,1213,0,1000.0
GSM,216,19.0538,47.4928,2242,0,1000.0
GSM,216,19.056,47.493,1299,0,1000.0
GSM,216,19.049,47.4909,510,0,510.0
GSM,216,19.0295,47.4734,1070,0,1000.0
GSM,216,19.3011,47.4081,3852,0,1000.0
GSM,216,19.305,47.4724,1067,0,1000.0
GSM,216,19.1457,47.5861,3890,0,1000.0
GSM,216,18.9619,47.4049,7312,0,1000.0
GSM,216,19.2795,47.51,1358,0,1000.0
GSM,216,19.2739,47.5167,5697,0,1000.0
GSM,216,19.2892,47.5124,4510,0,1000.0
GSM,216,19.2568,47.521,2122,0,1000.0
GSM,216,19.298,47.4997,1952,0,1000.0
GSM,216,19.2821,47.5096,1579,0,1000.0
GSM,216,19.1934,47.5497,3614,0,1000.0
GSM,216,19.1491,47.5623,2034,0,1000.0
GSM,216,19.2706,47.419,1691,0,1000.0
GSM,216,18.9481,47.4556,7568,0,1000.0
GSM,216,19.0572,47.5007,538,0,538.0
GSM,216,19.1494,47.6029,2567,0,1000.0
GSM,216,19.1887,47.5836,3269,0,1000.0
GSM,216,19.0714,47.5118,925,0,925.0
GSM,216,19.076,47.5132,882,0,882.0
GSM,216,19.0644,47.5046,500,0,500.0
GSM,216,19.0609,47.5065,916,0,916.0
GSM,216,19.0716,47.5003,611,0,611.0
GSM,216,19.1499,47.6026,1815,0,1000.0
GSM,216,19.0947,47.5272,1945,0,1000.0
GSM,216,19.0461,47.5006,1251,0,1000.0
GSM,216,19.0479,47.4962,694,0,694.0
GSM,216,19.0359,47.5061,1197,0,1000.0
GSM,216,19.0496,47.5319,1043,0,1000.0
GSM,216,19.0421,47.524,1744,0,1000.0
GSM,216,19.0435,47.553,3211,0,1000.0
GSM,216,19.0462,47.5503,2191,0,1000.0
GSM,216,19.0429,47.5499,1310,0,1000.0
GSM,216,19.0409,47.5122,756,0,756.0
GSM,216,19.0676,47.4784,906,0,906.0
GSM,216,19.0687,47.4826,540,0,540.0
GSM,216,19.0674,47.4784,905,0,905.0
GSM,216,19.043,47.478,778,0,778.0
GSM,216,19.0423,47.4765,600,0,600.0
GSM,216,19.0591,47.4883,818,0,818.0
GSM,216,19.0524,47.4822,698,0,698.0
GSM,216,19.0555,47.4971,745,0,745.0
GSM,216,19.0579,47.4853,563,0,563.0
GSM,216,19.0536,47.4982,517,0,517.0
GSM,216,18.9145,47.445,2703,0,1000.0
GSM,216,19.0358,47.4956,602,0,602.0
GSM,216,19.099,47.371,3750,0,1000.0
GSM,216,19.0245,47.5086,1009,0,1000.0
GSM,216,19.0347,47.4973,924,0,924.0
GSM,216,19.0248,47.4931,658,0,658.0
GSM,216,19.0285,47.4983,3984,0,1000.0
GSM,216,19.0409,47.4997,1493,0,1000.0
GSM,216,18.9553,47.3751,5404,0,1000.0
GSM,216,18.9753,47.5307,1635,0,1000.0
GSM,216,18.8992,47.436,2138,0,1000.0
GSM,216,19.0656,47.466,3418,0,1000.0
GSM,216,19.0918,47.4794,934,0,934.0
GSM,216,19.2443,47.526,2741,0,1000.0
GSM,216,19.0959,47.4803,1006,0,1000.0
GSM,216,19.0684,47.4849,958,0,958.0
GSM,216,19.0713,47.4858,574,0,574.0
GSM,216,19.0374,47.4948,753,0,753.0
GSM,216,19.3393,47.4592,3545,0,1000.0
GSM,216,19.3145,47.4886,6178,0,1000.0
GSM,216,19.3235,47.468,928,0,928.0
GSM,216,18.994,47.4711,1300,0,1000.0
GSM,216,19.0318,47.5475,2434,0,1000.0
GSM,216,19.0485,47.5587,2562,0,1000.0
GSM,216,19.0466,47.5582,1616,0,1000.0
GSM,216,19.0246,47.5597,2144,0,1000.0
GSM,216,19.0301,47.5446,1487,0,1000.0
GSM,216,19.0578,47.5619,2987,0,1000.0
GSM,216,19.0456,47.5572,1754,0,1000.0
GSM,216,19.0504,47.5601,846,0,846.0
GSM,216,18.9559,47.6341,5171,0,1000.0
GSM,216,19.0713,47.5932,2397,0,1000.0
GSM,216,19.0497,47.5719,2920,0,1000.0
GSM,216,19.0241,47.5561,878,0,878.0
GSM,216,19.082,47.4495,3351,0,1000.0
GSM,216,19.2092,47.5415,1731,0,1000.0
GSM,216,19.0595,47.5957,871,0,871.0
GSM,216,18.9444,47.6067,5343,0,1000.0
GSM,216,19.185,47.5346,1949,0,1000.0
GSM,216,19.1881,47.5453,1695,0,1000.0
GSM,216,19.1938,47.5476,1172,0,1000.0
GSM,216,19.1708,47.5299,1182,0,1000.0
GSM,216,19.1964,47.5492,4638,0,1000.0
GSM,216,18.9167,47.4469,2919,0,1000.0
GSM,216,18.9562,47.4606,1934,0,1000.0
GSM,216,18.8885,47.4638,1726,0,1000.0
GSM,216,19.0408,47.5048,704,0,704.0
GSM,216,19.2178,47.442,3609,0,1000.0
GSM,216,19.1704,47.4577,1516,0,1000.0
GSM,216,19.1708,47.4626,1929,0,1000.0
